2010-02-23T20:45:13; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:45:13; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:45:13; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:45:13; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T20:45:13; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:45:18; Saiu; 100; Ativo completo; 105075
2010-02-23T20:45:18; Entrou; 100; Requisição de ativo; 18
2010-02-23T20:50:16; Saiu; 1; Autenticação ok; 8
2010-02-23T20:50:16; Entrou; 1; Autenticando; 94
2010-02-23T20:50:16; Saiu; 3; Sessão; 8
2010-02-23T20:50:16; Entrou; 2; Requisição de sessão; 4
2010-02-23T20:50:16; Saiu; 6; Aguardando sessão; 8
2010-02-23T20:50:17; Entrou; 1000; Id da Sessão; 104
2010-02-23T20:50:17; Saiu; 4; Sessão autenticada; 8
2010-02-23T20:50:17; Saiu; 7; Versão do protocolo; 22
2010-02-23T20:50:17; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T20:50:17; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T20:50:26; Saiu; 100; Ativo completo; 171057
2010-02-23T20:50:27; Entrou; 100; Requisição de ativo; 18
2010-02-24T13:07:22; Saiu; 1; Autenticação ok; 8
2010-02-24T13:07:22; Entrou; 1; Autenticando; 94
2010-02-24T13:07:22; Saiu; 3; Sessão; 8
2010-02-24T13:07:22; Entrou; 2; Requisição de sessão; 4
2010-02-24T13:07:22; Saiu; 6; Aguardando sessão; 8
2010-02-24T13:07:22; Entrou; 1000; Id da Sessão; 104
2010-02-24T13:07:22; Saiu; 4; Sessão autenticada; 8
2010-02-24T13:07:22; Saiu; 7; Versão do protocolo; 22
2010-02-24T13:07:23; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T13:07:23; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T13:07:29; Saiu; 100; Ativo completo; 149125
2010-02-24T13:07:29; Entrou; 100; Requisição de ativo; 18
2010-02-24T13:07:58; Saiu; 100; Ativo completo; 190871
2010-02-24T13:07:58; Entrou; 100; Requisição de ativo; 20
2010-02-24T15:34:24; Saiu; 1; Autenticação ok; 8
2010-02-24T15:34:24; Entrou; 1; Autenticando; 94
2010-02-24T15:34:24; Saiu; 3; Sessão; 8
2010-02-24T15:34:24; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:34:24; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:34:24; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:34:24; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:34:24; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:34:24; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T15:34:24; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:34:53; Saiu; 1; Autenticação ok; 8
2010-02-24T15:34:53; Entrou; 1; Autenticando; 94
2010-02-24T15:34:53; Saiu; 3; Sessão; 8
2010-02-24T15:34:53; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:34:53; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:34:54; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:34:54; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:34:54; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:34:54; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T15:34:54; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:34:57; Saiu; 1; Autenticação ok; 8
2010-02-24T15:34:57; Entrou; 1; Autenticando; 94
2010-02-24T15:34:57; Saiu; 3; Sessão; 8
2010-02-24T15:34:57; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:34:57; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:34:58; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:34:58; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:34:58; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:34:58; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T15:34:58; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:35:00; Saiu; 1; Autenticação ok; 8
2010-02-24T15:35:00; Entrou; 1; Autenticando; 94
2010-02-24T15:35:00; Saiu; 3; Sessão; 8
2010-02-24T15:35:00; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:35:00; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:35:00; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:35:00; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:35:00; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:35:01; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T15:35:01; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:47:41; Saiu; 1; Autenticação ok; 8
2010-02-24T15:47:41; Entrou; 1; Autenticando; 94
2010-02-24T15:47:41; Saiu; 3; Sessão; 8
2010-02-24T15:47:41; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:47:41; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:47:41; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:47:41; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:47:41; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:47:42; Saiu; 302; Lista de ativos em dia; 8
